,GENDER,NATIONALITY,RELIGION,POLITICAL_OPINION,SEXUAL_ORIENTATION,TITLE,PERSON
0,Female,France,Buddhism,Liberal,Heterosexual,Dr.,Kathryn Navarro
1,Male,United States of America,Buddhism,Libertarian,Heterosexual,Mr.,Brooke Pruitt
2,Female,Timor-Leste,Christianity,Conservative,Bisexual,Mr.,Briana Valdez
3,Female,Nicaragua,Buddhism,Conservative,Heterosexual,Mrs.,Donna Jones
4,Female,Congo,Christianity,Libertarian,Bisexual,Ind.,Derrick Young
5,Male,Poland,Hinduism,Liberal,Homosexual,Mx.,Jasmine Keith
6,Male,Israel,Hinduism,Libertarian,Homosexual,Mx.,Jasmine Richmond
7,Female,Yemen,Buddhism,Libertarian,Homosexual,Mr.,Christopher Williams
8,Male,Tonga,Islam,Libertarian,Homosexual,Mrs.,Stacy Neal
9,Male,Angola,Islam,Libertarian,Bisexual,Mx.,Michael Elliott
10,Male,Morocco,Buddhism,Conservative,Homosexual,Ms.,Jason Cruz
11,Male,Jersey,Hinduism,Liberal,Heterosexual,Mr.,Miranda Roberts
12,Male,Gabon,Christianity,Libertarian,Bisexual,Mrs.,Linda Myers
13,Male,Netherlands,Buddhism,Conservative,Homosexual,Dr.,Johnny Taylor
14,Male,Kenya,Buddhism,Libertarian,Heterosexual,Mr.,Sara Simmons
15,Male,New Zealand,Islam,Liberal,Bisexual,Dr.,Bryan Jones
16,Male,Senegal,Islam,Libertarian,Heterosexual,Mx.,Lisa Gibbs
17,Female,Latvia,Buddhism,Conservative,Homosexual,Mx.,Kimberly Hanson
18,Female,Saint Martin,Christianity,Libertarian,Heterosexual,Mr.,David Santiago
19,Male,Aruba,Buddhism,Libertarian,Heterosexual,Mrs.,Adriana Moore
20,Male,Poland,Islam,Conservative,Homosexual,Mrs.,Erik Williamson
21,Male,Jamaica,Christianity,Conservative,Homosexual,Ind.,Carlos Williams
22,Female,Somalia,Islam,Libertarian,Heterosexual,Mr.,James Buchanan
23,Female,Hungary,Christianity,Libertarian,Bisexual,Mx.,Jonathan Roth
24,Female,Bangladesh,Christianity,Conservative,Homosexual,Mx.,Crystal Lewis
25,Female,Tanzania,Christianity,Conservative,Bisexual,Mr.,Ricky Li
26,Male,Liechtenstein,Islam,Liberal,Bisexual,Mr.,Joseph Noble
27,Male,Georgia,Hinduism,Liberal,Bisexual,Mx.,Justin Cook
28,Female,Iceland,Hinduism,Libertarian,Bisexual,Mrs.,Jonathon Marshall
29,Male,Costa Rica,Islam,Libertarian,Bisexual,Mrs.,Patricia Yates
30,Female,Madagascar,Buddhism,Liberal,Heterosexual,Ind.,Casey Watts
31,Male,Thailand,Islam,Liberal,Heterosexual,Mrs.,Megan Lopez
32,Male,Swaziland,Islam,Liberal,Bisexual,Mr.,Jamie Hess
33,Female,India,Buddhism,Conservative,Homosexual,Mr.,Mercedes Park
34,Male,Trinidad and Tobago,Islam,Conservative,Homosexual,Mx.,Rodney Brady
35,Female,Barbados,Islam,Conservative,Bisexual,Mrs.,Kerri Clark
36,Male,Cocos (Keeling) Islands,Islam,Conservative,Bisexual,Dr.,James Brown
37,Female,Chile,Islam,Conservative,Heterosexual,Mr.,Curtis Waters
38,Male,Saint Martin,Buddhism,Conservative,Homosexual,Dr.,Kimberly Barrera
39,Female,Brunei Darussalam,Christianity,Conservative,Heterosexual,Mr.,Roberta Ford
40,Male,American Samoa,Islam,Conservative,Heterosexual,Mr.,Theresa Johnson
41,Female,Nigeria,Christianity,Conservative,Homosexual,Mrs.,Caitlyn Downs
42,Male,Swaziland,Islam,Liberal,Heterosexual,Mx.,Jonathon Santos
43,Male,Greece,Islam,Conservative,Homosexual,Mr.,David Singleton
44,Female,Cote d'Ivoire,Buddhism,Libertarian,Heterosexual,Mrs.,Holly Brewer
45,Male,Syrian Arab Republic,Hinduism,Libertarian,Bisexual,Mr.,Julie Gutierrez
46,Female,Lesotho,Hinduism,Liberal,Heterosexual,Misc.,Anthony Romero
47,Female,Israel,Christianity,Libertarian,Bisexual,Mx.,Rachel Glass
48,Female,Poland,Buddhism,Conservative,Bisexual,Miss,Peter Gilmore
49,Female,Chile,Islam,Libertarian,Heterosexual,Mx.,Mike Chang
50,Female,Western Sahara,Islam,Conservative,Homosexual,Dr.,Corey Peters
51,Female,Romania,Islam,Liberal,Heterosexual,Mr.,Ryan Wilson
52,Male,Czech Republic,Islam,Conservative,Homosexual,Mr.,Wanda Murillo
53,Male,Denmark,Islam,Liberal,Bisexual,Mrs.,Mr. Ethan Cook II
54,Male,Slovakia (Slovak Republic),Buddhism,Liberal,Bisexual,Mr.,Ronald Harris
55,Male,New Zealand,Hinduism,Liberal,Homosexual,Ind.,Jennifer Ross
56,Male,Slovakia (Slovak Republic),Buddhism,Libertarian,Homosexual,Mx.,Thomas Lee
