,IP_ADDRESS,MAC_ADDRESS,DATE_TIME,USERNAME,USER_NAME,PASSWORD
0,82.58.53.58,18:7e:25:d0:e2:78,2011-01-12 07:55:47.809791,rbarnes,ybrewer,OR@0EnNxY(
1,37.109.165.127,8c:89:27:da:e0:ba,1977-04-10 11:42:36.519650,alexis21,qsummers,&VHuHGxq5l
2,77.99.244.119,66:b8:37:13:79:e2,1992-05-23 02:59:45.948624,kellibarker,kevin62,T1W$Mloo#p
3,170.145.26.244,a6:9b:bc:20:cb:83,1981-09-02 10:35:22.506180,smithjeffrey,mbarnett,$9NwKjE3ML
4,216.137.111.91,36:34:5b:54:d7:24,2006-12-16 15:01:42.571524,matthew34,ashley00,cq6UyLy&d$
5,60.78.181.7,52:be:77:97:65:02,1987-03-23 20:55:37.723999,thompsonnatasha,ualexander,!5vY71Fiwd
6,188.131.160.171,8e:f0:92:a4:f3:50,1970-09-05 00:25:59.546481,manuelchang,snyderchristopher,%7GJO2ElFf
7,77.22.7.253,2c:ae:82:60:17:32,2004-05-12 03:35:58.702615,ralphyoung,stevensonamber,xa1)2NsrrU
8,18.251.163.87,54:8f:da:40:11:5f,1972-04-10 22:19:45.165997,billlopez,lauranelson,R4taU0Of#a
9,182.148.165.165,ce:49:d5:37:2a:89,1997-11-06 14:08:48.373553,scott58,davidvargas,#SR7Z7Kzw^
10,6.206.213.206,3e:b0:ff:11:6c:5b,2018-09-05 07:27:50.888835,kimberly57,rojasjennifer,zR4Juj2U_9
11,85.171.141.8,bc:8e:ef:44:f1:e9,1993-06-04 21:18:46.779485,progers,rachelbrown,y%27EYVbkl
12,88.6.168.163,0e:0c:7a:91:3d:e5,2009-12-29 04:49:30.332782,fharris,cmoore,_w1SjRwbR5
13,134.109.238.88,22:1e:93:c1:8a:10,2002-11-07 01:42:33.208415,tsolis,timothyturner,@x9KSMaOq6
14,112.174.172.222,04:95:5b:78:e3:7a,2010-03-01 12:55:26.282288,dominguezchristopher,nathaniel89,@*07R9CSnd
15,71.253.138.35,60:62:ba:a3:96:79,2014-09-03 21:10:28.587752,alexandertaylor,robertperez,J^7fP@Nj7g
16,59.123.159.178,5c:20:71:8f:15:33,2017-11-02 11:39:57.739421,crystal90,greenjustin,i%)29FCmDG
17,219.51.90.30,96:bd:0b:3b:b3:8d,1987-06-26 08:19:44.184165,allenrebekah,darren76,^Umz4M2m(3
18,125.38.9.132,ce:8c:79:97:d4:86,1981-12-30 13:00:49.039960,dale44,gloriacarlson,@_pT_Ptm4J
19,50.247.90.215,84:a1:7c:2f:26:97,2010-01-17 21:25:21.317370,stephanie98,longcarrie,%63h9Gaek)
20,172.57.69.206,44:fa:4c:55:be:70,1975-03-26 06:45:44.759433,elizabeth87,karen43,$k8JVR+gj@
21,32.109.91.209,78:9e:2b:41:08:d4,2009-04-28 15:49:06.964954,smithjoseph,curtisterry,%7Cl!Qeu@q
22,171.137.176.167,4c:2b:9a:39:20:16,2007-07-14 14:06:44.578029,olsontaylor,tbradshaw,^^2!KkljAo
23,101.102.254.5,3e:f6:82:44:34:f2,2006-04-15 09:36:59.812184,cwheeler,jeffrey52,%LBIP@fv3g
24,52.86.210.91,06:3b:2d:47:87:47,1997-08-08 17:25:42.440680,annettestone,hallmaria,US8JW0e_x*
25,143.92.18.211,b4:c6:34:d2:f3:aa,1989-03-05 19:42:01.860919,salassteven,danielleaustin,!4P4s_8+h1
26,199.252.5.175,60:dd:50:42:d9:e3,2008-07-13 02:16:21.986893,zacharylozano,ramirezpatricia,GgklKBgb!9
27,89.168.236.205,6e:76:27:d5:5e:43,2013-05-28 23:50:28.523836,anthonyanderson,contrerasalexander,IWSFZ9Es_(
28,220.250.70.207,16:5f:b2:c5:40:72,2024-11-22 23:24:56.084373,tvilla,reidpatrick,t0@+3@Fy*L
29,154.37.150.25,56:ef:2c:d0:7a:2a,2008-01-23 01:43:23.107759,michael45,richardoconnell,_kUtsbw53z
